C_NAME,C_TYPE,ACTION,U_NAME,U_TYPE,U_PARAM,MEASURE,FLOOD_EL,LOCATION,GROUP
ISD002_DOWN,orifice,0,1509,link,1,depth,500,ISD002,1
ISD003_DOWN,orifice,0,RC1954,link,1,depth,500,ISD003,1
ISD004_DOWN,orifice,0,1520,link,1,depth,500,ISD004,1
ISD005_DOWN,orifice,0,2020,link,1,depth,500,ISD005,2
ISD006_DOWN,orifice,0,2150,link,1,depth,500,ISD006,3
ISD007_DOWN,orifice,0,2180,link,1,depth,500,ISD007,3
ISD008_DOWN,orifice,0,2190,link,1,depth,500,ISD008,3
ISD009_DOWN,orifice,0,2198,link,1,depth,500,ISD009,3
ISD010_DOWN,orifice,0,2220,link,1,depth,500,ISD010,3
ISD011_DOWN,orifice,0,2750,link,1,depth,500,ISD011,4
ISD012_DOWN,orifice,0,2525,link,1,depth,500,ISD012,4
ISD013_DOWN,orifice,0,2360,link,1,depth,500,ISD013,4
